OID,site,plot,ANPP,MAT,MASM,CLAY,LIG,N,CN,fW,treatment,soilGWC,cum_LitterCMin,soilpH,sir,sir_mlC,microbialBiomassC_perg,microbialBiomassC
72,HARV,38,750,20,,15,21,1,49,1,100,86.73231822,55.81558298,4.043333333,14.31231928,0.026772015,1.441951485,0.360487871
73,HARV,39,750,20,,15,21,1,49,0.35,35,82.53887438,69.86266566,4.1,20.74074406,0.038796753,1.923421983,0.480855496
74,HARV,39,750,20,55,15,21,1,49,0.6,60,82.53887438,81.57444388,4.1,20.74074406,0.038796753,1.923421983,0.480855496
75,HARV,39,750,20,,15,21,1,49,1,100,82.53887438,65.45537676,4.1,20.74074406,0.038796753,1.923421983,0.480855496
76,HARV,41,750,20,,15,21,1,49,0.35,35,56.1711591,65.46150922,3.873333333,12.43121832,0.023253308,1.301062442,0.325265611
77,HARV,41,750,20,55,15,21,1,49,0.6,60,56.1711591,62.43607228,3.873333333,12.43121832,0.023253308,1.301062442,0.325265611
78,HARV,41,750,20,,15,21,1,49,1,100,56.1711591,64.21658204,3.873333333,12.43121832,0.023253308,1.301062442,0.325265611
79,HARV,42,750,20,,15,21,1,49,0.35,35,36.78329968,48.88882652,4.28,6.640208842,0.012420892,0.867332514,0.216833129
80,HARV,42,750,20,55,15,21,1,49,0.6,60,36.78329968,60.17858391,4.28,6.640208842,0.012420892,0.867332514,0.216833129
81,HARV,42,750,20,,15,21,1,49,1,100,36.78329968,50.67535758,4.28,6.640208842,0.012420892,0.867332514,0.216833129
82,HARV,44,750,20,,15,21,1,49,0.35,35,49.90370226,54.75192739,3.666666667,21.01610071,0.039311823,1.944045403,0.486011351
83,HARV,44,750,20,55,15,21,1,49,0.6,60,49.90370226,65.47437597,3.666666667,21.01610071,0.039311823,1.944045403,0.486011351
84,HARV,44,750,20,,15,21,1,49,1,100,49.90370226,57.13024937,3.666666667,21.01610071,0.039311823,1.944045403,0.486011351
85,HARV,45,750,20,,15,21,1,49,0.35,35,47.72539049,50.23294384,3.92,9.214977106,0.017237144,1.06017524,0.26504381
86,HARV,45,750,20,55,15,21,1,49,0.6,60,47.72539049,60.07839606,3.92,9.214977106,0.017237144,1.06017524,0.26504381
87,HARV,45,750,20,,15,21,1,49,1,100,47.72539049,53.77087694,3.92,9.214977106,0.017237144,1.06017524,0.26504381
88,HARV,46,750,20,,15,21,1,49,0.35,35,45.95670553,43.72521913,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
89,HARV,46,750,20,,15,21,1,49,0.35,35,45.95670553,46.8136885,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
90,HARV,46,750,20,,15,21,1,49,0.35,35,45.95670553,48.3669292,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
91,HARV,46,750,20,,15,21,1,49,0.35,35,45.95670553,49.4755098,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
92,HARV,46,750,20,,15,21,1,49,0.35,35,45.95670553,44.83317813,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
93,HARV,46,750,20,,15,21,1,49,0.35,35,45.95670553,50.60266076,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
94,HARV,46,750,20,,15,21,1,49,0.35,35,45.95670553,46.76214352,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
95,HARV,46,750,20,,15,21,1,49,0.35,35,45.95670553,41.69229336,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
96,HARV,46,750,20,55,15,21,1,49,0.6,60,45.95670553,58.51746354,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
97,HARV,46,750,20,55,15,21,1,49,0.6,60,45.95670553,59.44049337,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
98,HARV,46,750,20,55,15,21,1,49,0.6,60,45.95670553,53.9109759,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
99,HARV,46,750,20,55,15,21,1,49,0.6,60,45.95670553,56.24518372,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
100,HARV,46,750,20,55,15,21,1,49,0.6,60,45.95670553,57.14320684,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
101,HARV,46,750,20,55,15,21,1,49,0.6,60,45.95670553,54.75126192,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
102,HARV,46,750,20,55,15,21,1,49,0.6,60,45.95670553,55.83070527,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
103,HARV,46,750,20,55,15,21,1,49,0.6,60,45.95670553,55.58050054,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
104,HARV,46,750,20,,15,21,1,49,1,100,45.95670553,48.32712625,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
105,HARV,46,750,20,,15,21,1,49,1,100,45.95670553,44.47958096,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
106,HARV,46,750,20,,15,21,1,49,1,100,45.95670553,42.45746337,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
107,HARV,46,750,20,,15,21,1,49,1,100,45.95670553,51.60423999,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
108,HARV,46,750,20,,15,21,1,49,1,100,45.95670553,58.61053976,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
109,HARV,46,750,20,,15,21,1,49,1,100,45.95670553,46.04251742,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
110,HARV,46,750,20,,15,21,1,49,1,100,45.95670553,53.24092312,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
111,HARV,46,750,20,,15,21,1,49,1,100,45.95670553,61.62472018,4.016666667,8.672260919,0.016221962,1.019527361,0.25488184
112,HARV,5,750,20,,15,21,1,49,0.35,35,46.89198432,50.91883259,4.06,5.54745176,0.010376827,0.785488156,0.196372039
113,HARV,5,750,20,55,15,21,1,49,0.6,60,46.89198432,53.66539293,4.06,5.54745176,0.010376827,0.785488156,0.196372039
114,HARV,5,750,20,,15,21,1,49,1,100,46.89198432,44.61728938,4.06,5.54745176,0.010376827,0.785488156,0.196372039
115,HARV,6,750,20,,15,21,1,49,0.35,35,55.7267832,44.53178413,4.16,9.068873481,0.016963849,1.049232499,0.262308125
116,HARV,6,750,20,55,15,21,1,49,0.6,60,55.7267832,52.84653325,4.16,9.068873481,0.016963849,1.049232499,0.262308125
117,HARV,6,750,20,,15,21,1,49,1,100,55.7267832,47.50660818,4.16,9.068873481,0.016963849,1.049232499,0.262308125
118,HARV,7,750,20,,15,21,1,49,0.35,35,70.47355385,47.10594508,4.193333333,14.55444649,0.027224928,1.460086116,0.365021529
119,HARV,7,750,20,55,15,21,1,49,0.6,60,70.47355385,58.52248853,4.193333333,14.55444649,0.027224928,1.460086116,0.365021529
120,HARV,7,750,20,,15,21,1,49,1,100,70.47355385,44.21569225,4.193333333,14.55444649,0.027224928,1.460086116,0.365021529
121,HARV,9,750,20,,15,21,1,49,0.35,35,36.22279585,43.24200544,4.376666667,6.302684001,0.011789532,0.842052876,0.210513219
122,HARV,9,750,20,55,15,21,1,49,0.6,60,36.22279585,53.49031495,4.376666667,6.302684001,0.011789532,0.842052876,0.210513219
123,HARV,9,750,20,,15,21,1,49,1,100,36.22279585,36.69679915,4.376666667,6.302684001,0.011789532,0.842052876,0.210513219
124,SCBI,14,750,20,,15,21,1,49,0.35,35,41.32501184,121.5017183,6.436666667,9.236364687,0.017277151,1.061777108,0.265444277
125,SCBI,14,750,20,38,15,21,1,49,0.6,60,41.32501184,87.56574773,6.436666667,9.236364687,0.017277151,1.061777108,0.265444277
126,SCBI,14,750,20,,15,21,1,49,1,100,41.32501184,56.39101855,6.436666667,9.236364687,0.017277151,1.061777108,0.265444277
127,SCBI,17,750,20,,15,21,1,49,0.35,35,34.60954181,106.5277005,6.8,4.261838574,0.007972014,0.689199432,0.172299858
128,SCBI,17,750,20,38,15,21,1,49,0.6,60,34.60954181,63.34344394,6.8,4.261838574,0.007972014,0.689199432,0.172299858
129,SCBI,17,750,20,,15,21,1,49,1,100,34.60954181,45.23602344,6.8,4.261838574,0.007972014,0.689199432,0.172299858
130,SCBI,2,750,20,,15,21,1,49,0.35,35,35.38974866,41.28639126,7.04,3.443804436,0.006441834,0.627931032,0.156982758
131,SCBI,2,750,20,38,15,21,1,49,0.6,60,35.38974866,60.69743203,7.04,3.443804436,0.006441834,0.627931032,0.156982758
132,SCBI,2,750,20,,15,21,1,49,1,100,35.38974866,61.8883248,7.04,3.443804436,0.006441834,0.627931032,0.156982758
133,SCBI,21,750,20,,15,21,1,49,0.35,35,36.03319826,104.0346531,7.25,4.786610159,0.008953629,0.728503312,0.182125828
134,SCBI,21,750,20,38,15,21,1,49,0.6,60,36.03319826,65.41839396,7.25,4.786610159,0.008953629,0.728503312,0.182125828
135,SCBI,21,750,20,,15,21,1,49,1,100,36.03319826,59.77726335,7.25,4.786610159,0.008953629,0.728503312,0.182125828
136,SCBI,24,750,20,,15,21,1,49,0.35,35,34.82123162,128.0664861,6.763333333,5.019909908,0.00939003,0.745976791,0.186494198
137,SCBI,24,750,20,38,15,21,1,49,0.6,60,34.82123162,67.12725658,6.763333333,5.019909908,0.00939003,0.745976791,0.186494198
138,SCBI,24,750,20,,15,21,1,49,1,100,34.82123162,54.63898496,6.763333333,5.019909908,0.00939003,0.745976791,0.186494198
139,SCBI,26,750,20,,15,21,1,49,0.35,35,36.0864675,135.6527726,6.94,5.597640844,0.010470709,0.789247174,0.197311794
140,SCBI,26,750,20,38,15,21,1,49,0.6,60,36.0864675,73.34878781,6.94,5.597640844,0.010470709,0.789247174,0.197311794
141,SCBI,26,750,20,,15,21,1,49,1,100,36.0864675,50.20136463,6.94,5.597640844,0.010470709,0.789247174,0.197311794
142,SCBI,27,750,20,,15,21,1,49,0.35,35,33.43262567,143.4053973,5,5.377464028,0.010058855,0.772756565,0.193189141
143,SCBI,27,750,20,38,15,21,1,49,0.6,60,33.43262567,82.70507667,5,5.377464028,0.010058855,0.772756565,0.193189141
144,SCBI,27,750,20,,15,21,1,49,1,100,33.43262567,43.96609372,5,5.377464028,0.010058855,0.772756565,0.193189141
145,SCBI,28,750,20,,15,21,1,49,0.35,35,40.99941069,105.2879441,6.64,6.515578116,0.012187763,0.857998032,0.214499508
146,SCBI,28,750,20,38,15,21,1,49,0.6,60,40.99941069,89.83814292,6.64,6.515578116,0.012187763,0.857998032,0.214499508
147,SCBI,28,750,20,,15,21,1,49,1,100,40.99941069,53.51793863,6.64,6.515578116,0.012187763,0.857998032,0.214499508
148,SCBI,29,750,20,,15,21,1,49,0.35,35,37.45038613,58.31358462,5.526666667,5.709808167,0.010680524,0.797648184,0.199412046
149,SCBI,29,750,20,38,15,21,1,49,0.6,60,37.45038613,56.15051415,5.526666667,5.709808167,0.010680524,0.797648184,0.199412046
150,SCBI,29,750,20,,15,21,1,49,1,100,37.45038613,39.37679135,5.526666667,5.709808167,0.010680524,0.797648184,0.199412046
151,SCBI,3,750,20,,15,21,1,49,0.35,35,29.15615392,91.64113215,6.343333333,3.522366244,0.006588788,0.633815085,0.158453771
152,SCBI,3,750,20,38,15,21,1,49,0.6,60,29.15615392,143.2514063,6.343333333,3.522366244,0.006588788,0.633815085,0.158453771
153,SCBI,3,750,20,,15,21,1,49,1,100,29.15615392,55.10743903,6.343333333,3.522366244,0.006588788,0.633815085,0.158453771
154,SCBI,30,750,20,,15,21,1,49,0.35,35,50.11985189,85.75018426,6.54,8.564823974,0.016020995,1.011480643,0.252870161
155,SCBI,30,750,20,,15,21,1,49,0.35,35,50.11985189,86.01665347,6.54,8.564823974,0.016020995,1.011480643,0.252870161
156,SCBI,30,750,20,,15,21,1,49,0.35,35,50.11985189,141.100274,6.54,8.564823974,0.016020995,1.011480643,0.252870161
157,SCBI,30,750,20,,15,21,1,49,0.35,35,50.11985189,143.1184964,6.54,8.564823974,0.016020995,1.011480643,0.252870161
158,SCBI,30,750,20,,15,21,1,49,0.35,35,50.11985189,130.7268969,6.54,8.564823974,0.016020995,1.011480643,0.252870161
159,SCBI,30,750,20,,15,21,1,49,0.35,35,50.11985189,114.6700107,6.54,8.564823974,0.016020995,1.011480643,0.252870161
160,SCBI,30,750,20,,15,21,1,49,0.35,35,50.11985189,132.2596006,6.54,8.564823974,0.016020995,1.011480643,0.252870161
161,SCBI,30,750,20,,15,21,1,49,0.35,35,50.11985189,129.4916483,6.54,8.564823974,0.016020995,1.011480643,0.252870161
162,SCBI,30,750,20,38,15,21,1,49,0.6,60,50.11985189,73.33246098,6.54,8.564823974,0.016020995,1.011480643,0.252870161
163,SCBI,30,750,20,38,15,21,1,49,0.6,60,50.11985189,73.35354153,6.54,8.564823974,0.016020995,1.011480643,0.252870161
164,SCBI,30,750,20,38,15,21,1,49,0.6,60,50.11985189,114.3813495,6.54,8.564823974,0.016020995,1.011480643,0.252870161
165,SCBI,30,750,20,38,15,21,1,49,0.6,60,50.11985189,72.09492722,6.54,8.564823974,0.016020995,1.011480643,0.252870161
166,SCBI,30,750,20,38,15,21,1,49,0.6,60,50.11985189,85.58279426,6.54,8.564823974,0.016020995,1.011480643,0.252870161
167,SCBI,30,750,20,38,15,21,1,49,0.6,60,50.11985189,77.71259567,6.54,8.564823974,0.016020995,1.011480643,0.252870161
168,SCBI,30,750,20,38,15,21,1,49,0.6,60,50.11985189,76.0111382,6.54,8.564823974,0.016020995,1.011480643,0.252870161
169,SCBI,30,750,20,38,15,21,1,49,0.6,60,50.11985189,90.48567052,6.54,8.564823974,0.016020995,1.011480643,0.252870161
170,SCBI,30,750,20,,15,21,1,49,1,100,50.11985189,44.90244843,6.54,8.564823974,0.016020995,1.011480643,0.252870161
