site,plot,treatment,cum_LitterCMin,soilGWC,soilpH,sir,percent.N,percent.C,C_N,bulkdensity,soilWHC,sir_mlC,microbialBiomassC_perg,microbialBiomassC
HARV,41,60,62.4360722792842,56.171159096570236,3.8733333333333335,12.431218323676566,0.875,25.385,29,0.141549622313344,75.63927283557,0.02325330775098497,1.3010624423494381,0.32526561058735953
HARV,41,100,64.2165820426744,56.171159096570236,3.8733333333333335,12.431218323676566,0.875,25.385,29,0.141549622313344,75.63927283557,0.02325330775098497,1.3010624423494381,0.32526561058735953
HARV,42,35,48.8888265220719,36.78329967919466,4.28,6.6402088416889695,0.52,12.31,23.9,0.436273720460397,58.5768683931058,0.01242089195976238,0.8673325140688857,0.21683312851722142
HARV,42,60,60.1785839079284,36.78329967919466,4.28,6.6402088416889695,0.52,12.31,23.9,0.436273720460397,58.5768683931058,0.01242089195976238,0.8673325140688857,0.21683312851722142
HARV,42,100,50.6753575837132,36.78329967919466,4.28,6.6402088416889695,0.52,12.31,23.9,0.436273720460397,58.5768683931058,0.01242089195976238,0.8673325140688857,0.21683312851722142
HARV,44,35,54.7519273891976,49.90370226367607,3.666666666666667,21.016100710649233,0.95,30.54,32.150000000000006,0.204623675312104,75.7862448967108,0.03931182325224323,1.9440454030198189,0.4860113507549547
HARV,44,60,65.4743759669777,49.90370226367607,3.666666666666667,21.016100710649233,0.95,30.54,32.150000000000006,0.204623675312104,75.7862448967108,0.03931182325224323,1.9440454030198189,0.4860113507549547
HARV,44,100,57.1302493743346,49.90370226367607,3.666666666666667,21.016100710649233,0.95,30.54,32.150000000000006,0.204623675312104,75.7862448967108,0.03931182325224323,1.9440454030198189,0.4860113507549547
HARV,45,35,50.232943842792,47.725390486799,3.92,9.214977106143984,0.565,14.73,25.9,0.142813696096306,61.6607392067693,0.01723714385735874,1.060175240048644,0.265043810012161
HARV,45,60,60.0783960559752,47.725390486799,3.92,9.214977106143984,0.565,14.73,25.9,0.142813696096306,61.6607392067693,0.01723714385735874,1.060175240048644,0.265043810012161
HARV,45,100,53.770876936055,47.725390486799,3.92,9.214977106143984,0.565,14.73,25.9,0.142813696096306,61.6607392067693,0.01723714385735874,1.060175240048644,0.265043810012161
HARV,46,35,43.7252191323432,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,35,46.8136884981265,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,35,48.3669291997885,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,35,49.4755098026236,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,35,44.8331781313465,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,35,50.6026607556848,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,35,46.7621435152123,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,35,41.6922933555463,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,60,58.5174635365601,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,60,59.4404933714102,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,60,53.9109759001088,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,60,56.2451837167492,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,60,57.1432068444339,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,60,54.7512619243864,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,60,55.83070527365,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,60,55.580500542968,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,100,48.327126248762,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,100,44.479580959044704,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,100,42.4574633672355,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,100,51.604239991105,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,100,58.6105397561331,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,100,46.0425174177021,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,100,53.2409231214314,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,46,100,61.6247201791284,45.9567055263451,4.016666666666667,8.672260919220287,0.635,16.55,25.95,0.134467554115862,63.6640941988895,0.016221962063636897,1.0195273610280213,0.25488184025700533
HARV,5,35,50.9188325877028,46.89198431622096,4.0600000000000005,5.547451759723767,0.525,14.635,27.75,0.267301122965038,64.28201330785285,0.010376827085154819,0.7854881564895989,0.19637203912239973
HARV,5,60,53.6653929266412,46.89198431622096,4.0600000000000005,5.547451759723767,0.525,14.635,27.75,0.267301122965038,64.28201330785285,0.010376827085154819,0.7854881564895989,0.19637203912239973
HARV,5,100,44.6172893830206,46.89198431622096,4.0600000000000005,5.547451759723767,0.525,14.635,27.75,0.267301122965038,64.28201330785285,0.010376827085154819,0.7854881564895989,0.19637203912239973
HARV,6,35,44.5317841334108,55.72678319755504,4.16,9.068873481343163,1.0150000000000001,27.235,26.75,0.229097479892255,70.60402507694555,0.016963848637005542,1.0492324994257018,0.26230812485642546
HARV,6,60,52.8465332540522,55.72678319755504,4.16,9.068873481343163,1.0150000000000001,27.235,26.75,0.229097479892255,70.60402507694555,0.016963848637005542,1.0492324994257018,0.26230812485642546
HARV,6,100,47.5066081785531,55.72678319755504,4.16,9.068873481343163,1.0150000000000001,27.235,26.75,0.229097479892255,70.60402507694555,0.016963848637005542,1.0492324994257018,0.26230812485642546
HARV,7,35,47.1059450792857,70.4735538546982,4.193333333333333,14.55444648763873,1.135,30.61,27.05,0.0918995623971539,82.15857761002749,0.027224927960416628,1.460086115535082,0.3650215288837705
HARV,7,60,58.5224885279562,70.4735538546982,4.193333333333333,14.55444648763873,1.135,30.61,27.05,0.0918995623971539,82.15857761002749,0.027224927960416628,1.460086115535082,0.3650215288837705
